ra,dec,Vhel,Vhel_error,mem
14.892875,-33.62194444,106.9,1.6,1
14.89025,-33.63347222,110.5,2.7,1
14.89266667,-33.72194444,116.3,0.6,1
14.887375,-33.72122222,106.1,1,0.999
14.87520833,-33.71794444,109.6,0.8,1
14.86820833,-33.71208333,121,2.6,1
14.860125,-33.70597222,120.7,0.8,1
14.89741667,-33.69275,124,2.6,1
14.882875,-33.67736111,114.2,2,1
14.85108333,-33.71255556,111.8,2.1,1
14.84770833,-33.69075,118.5,2.5,1
14.8635,-33.68063889,107.2,2.4,1
14.86116667,-33.67288889,115.7,3.7,1
14.861625,-33.65675,106.5,2,1
14.94879167,-33.54030556,105.5,2.5,1
14.94395833,-33.57475,106.2,4.2,1
14.93275,-33.58605556,112.9,2,1
14.92625,-33.59647222,98.5,3.4,1
14.93004167,-33.61713889,103.5,1.1,1
14.92791667,-33.64972222,108.5,2.9,1
14.970875,-33.58725,126.8,1.7,1
14.95654167,-33.59333333,115.1,2.6,1
14.95904167,-33.61202778,116.8,1.3,1
14.94329167,-33.62277778,98.6,1.3,1
14.96008333,-33.6345,112.4,2.9,1
14.93704167,-33.63741667,100,3.1,1
14.93583333,-33.64308333,105,1.6,1
14.9595,-33.76161111,115.1,3.5,1
14.97166667,-33.757,108.9,1.6,1
14.94504167,-33.75038889,103.7,1,1
14.95683333,-33.72533333,99.8,1.1,1
14.96125,-33.71841667,107.7,1.7,1
14.94758333,-33.67308333,123.8,1.2,1
14.92891667,-33.76616667,96.7,1.7,1
14.92479167,-33.75477778,120.2,0.8,1
14.9225,-33.72883333,113.5,2,1
14.935,-33.71683333,105.3,0.6,1
14.94375,-33.71002778,118.2,3.6,1
14.93120833,-33.69588889,117.3,4.3,1
14.91845833,-33.67352778,115.6,2.2,1
14.943,-33.65561111,116.1,2,1
14.99345833,-33.58822222,93.2,1.4,0.996
14.98866667,-33.59733333,102.1,3.4,1
15.00175,-33.60569444,99.2,2.1,0.999
14.97854167,-33.61461111,113.9,1,1
14.99491667,-33.62133333,92.7,3.6,0.998
14.98329167,-33.63419444,108.4,3.6,1
14.99291667,-33.64502778,122.8,4.2,1
15.01520833,-33.61344444,107,2.1,1
15.02741667,-33.62808333,107.8,2.5,1
15.03608333,-33.64091667,111.8,1,1
15.040375,-33.65091667,104.5,0.8,1
14.99666667,-33.66847222,114.4,4.2,1
15.00495833,-33.72594444,98.7,3.3,0.996
14.99725,-33.72172222,121.3,4.3,0.999
