ra,dec,Vhel,Vhel_error,mem
100.2513333,-51.01133333,220.9,1.8,1
100.2340833,-51.05258333,241.4,2.5,1
100.2230417,-51.0045,221.4,4.3,1
100.2174167,-50.99958333,223.5,0.9,1
100.2867917,-50.9595,241.9,5.5,0.999
100.3029583,-50.92391667,221.8,2.2,1
100.31,-50.92888889,226.7,1.7,1
100.3247083,-50.95566667,232,0.8,1
100.3004167,-51.05341667,222.5,2.2,0.998
100.290875,-51.02491667,218.8,1.6,1
100.2955833,-51.02061111,225.9,0.8,0.998
100.2978333,-51.00002778,224.5,2.5,1
100.2911667,-50.98772222,213.8,2.5,1
100.170125,-50.90811111,224.7,1.1,1
100.2230833,-51.048,223,0.8,1
100.1660833,-50.88969444,224,9.3,0.994
100.2507083,-50.97558333,230.2,2,1
100.2373333,-50.97730556,217.4,1.1,0.999
100.203125,-50.99658333,214,6.8,0.98
100.3025417,-50.99558333,214.1,3.2,1
100.3198333,-51.01502778,218.4,1.9,1
100.2866667,-51.07752778,229.7,2.5,0.999
100.2668333,-51.06094444,229.4,8.8,1
100.2395417,-51.01141667,222.9,1.4,1
100.2515,-50.99794444,220.1,2.5,1
100.3428333,-51.03841667,224.5,3.5,1
100.1011667,-51.1045,221.2,2.4,0.998
100.1385833,-51.10380556,220.5,1.8,1
100.1421667,-51.08138889,221.7,1.4,0.997
100.115125,-51.06208333,223.4,2.1,1
100.1101667,-51.04872222,226.6,1,0.999
100.1075,-51.06022222,219.1,3,1
100.14125,-51.06291667,222.3,2.8,0.952
100.1465,-51.07052778,229.4,3.9,1
100.1474167,-51.11480556,221.5,2.3,1
100.142,-51.19161111,229.7,3.3,0.999
100.1384583,-51.17905556,225.8,2.5,1
100.123625,-51.15638889,223,3,0.993
100.1457083,-51.14519444,221.9,3,1
100.0943333,-51.12583333,221.6,1.1,1
100.21525,-51.002,204.9,4.8,1
100.2040833,-51.02986111,235.4,1.5,1
100.2180417,-51.02930556,213.3,3.5,1
100.2328333,-51.09891667,222.5,4.7,1
100.2477083,-50.99266667,218,4.3,1
100.243,-51.00266667,221.7,3.1,1
100.2272917,-51.03658333,217.3,3.5,1
100.2456667,-51.06683333,221.3,3.3,1
100.2659583,-51.18547222,217.1,3.6,1
100.2595833,-51.18333333,218,4.2,1
100.233,-51.17972222,224.4,0.7,1
100.2155833,-51.11752778,228.1,1.4,1
100.2213333,-51.15761111,227.6,3.8,1
100.1895,-51.15405556,211.9,1.4,1
100.1653333,-51.10811111,225.5,0.6,1
100.274625,-51.06105556,219.6,4.8,1
100.2896667,-51.09266667,224.1,3,1
100.3080833,-50.99066667,221.5,1.1,1
100.28425,-51.01502778,225.7,3.6,0.999
100.2923333,-51.02911111,218.8,0.6,1
100.3004583,-51.03652778,227.8,4.8,1
100.3064583,-51.08855556,219.8,0.6,1
100.3964583,-51.17825,223.2,0.8,1
100.372,-51.15991667,225.1,1.8,1
100.365125,-51.15202778,228.4,1,1
100.3527917,-51.14322222,221.3,3.3,0.999
100.360125,-51.17144444,216.6,1.5,1
100.2939583,-51.13872222,230.5,4.5,1
100.3355417,-51.00947222,229.4,1.2,1
100.3476667,-51.02691667,222.9,2.3,1
100.3495833,-51.04458333,217.9,1,1
100.3415833,-51.062,218.9,0.5,1
100.3551667,-51.07222222,219.5,1.6,1
100.3549583,-51.00455556,219.9,2,1
100.36325,-51.00511111,231.4,0.6,1
100.3495417,-51.01069444,232.1,3,1
100.3567083,-51.01683333,216.7,5,1
100.358,-51.02452778,227.4,2.1,1
100.3654583,-51.07002778,225.7,5,1
100.3739583,-51.08136111,214.8,4.2,0.999
100.42225,-51.09430556,222.9,1.9,0.998
100.4475833,-51.05936111,215.4,2.1,0.997
100.4471667,-51.15869444,225.9,4.7,1
100.414125,-51.10755556,229.6,0.9,1
100.409875,-51.07702778,205.3,2.2,0.97
100.2202917,-51.09530556,226,9.8,1
100.165875,-51.03322222,224.5,1.5,1
100.2067083,-51.07533333,235.5,6.6,0.999
100.2418333,-51.03338889,225.4,0.9,1
100.2512917,-51.06194444,222.9,1.8,1
100.2720833,-50.98661111,229.1,10.1,1
100.2470417,-51.04072222,215.8,1.4,1
100.3179583,-51.00519444,221,2.2,1
100.3415833,-51.20725,215.8,5.1,1
100.290625,-51.15572222,221.3,6.9,1
100.300875,-51.22122222,236.3,1.2,0.999
100.2623333,-51.13247222,224.9,5.2,1
100.3867917,-51.01327778,214.8,5.5,1
100.1595,-50.88875,226.9,0.9,1
100.1675833,-50.87238889,211,0.9,1
100.2483333,-51.10775,214.9,3.9,0.937
100.266875,-51.17019444,231.4,1.1,1
99.95075,-51.23997222,208.8,2.6,0.996
100.094375,-51.23069444,225.5,2.1,1
100.068375,-51.26313889,220.2,1.1,1
99.959625,-51.27191667,215.8,2.5,0.995
100.1398333,-51.21097222,215,4.6,1
100.1204583,-51.26933333,222.8,3.6,0.999
100.19275,-51.15119444,223.1,3.3,1
100.2056667,-51.15336111,226.5,2.4,1
100.219375,-51.15830556,232.7,3.4,0.996
100.2443333,-51.15602778,205.9,1.8,0.999
100.3090833,-51.23919444,228.4,4.8,1
100.1990417,-51.10097222,239.1,2.3,1
100.590625,-50.9815,230.8,4.7,1
100.5554167,-50.96908333,215.9,5.1,1
100.6565833,-50.97175,218.8,3.3,1
100.6213333,-50.99861111,230.8,2.9,1
100.6203333,-50.95366667,225.8,1.8,1
100.430625,-51.06838889,221.9,3,1
100.5139583,-51.01977778,228.3,2,1
100.4922917,-51.04019444,224.3,2.8,1
100.4878333,-51.02069444,223.5,2.2,1
100.572,-50.99705556,224.9,3.5,1
100.5428333,-50.98347222,228.6,1.8,1
100.5428333,-50.97811111,220.4,1.3,1
100.529625,-50.96466667,216,5.9,1
100.5268333,-50.99186111,230.9,2.2,1
100.3894583,-51.07161111,232.9,4.2,1
100.42075,-51.02825,228.3,1.3,1
100.407125,-51.04361111,207.2,3.3,0.988
100.4132083,-51.13288889,236.8,4.7,0.999
100.362875,-51.09308333,200.7,4.7,0.959
100.399875,-50.98372222,213.2,1.3,1
100.4060833,-51.02136111,230.8,3.9,0.999
100.376125,-51.03263889,227.2,2.2,1
100.4366667,-50.98605556,211.9,2.6,1
100.4506667,-51.01602778,224.8,2.4,1
100.4565833,-51.03263889,235,3.9,1
100.4214167,-51.05408333,228.3,1.8,0.996
100.4187083,-51.09330556,225.2,2.5,1
100.4794583,-50.96227778,222.3,3,1
100.4877917,-50.99569444,229.4,1.9,1
100.4740417,-50.99775,224.3,3.5,1
100.4516667,-51.00161111,222.2,2.4,1
100.4993333,-50.96725,224.9,2,1
100.5023333,-50.97566667,222.8,3.8,1
100.502125,-50.98155556,228.4,4.8,1
100.50375,-51.00983333,225.8,2.9,1
100.535375,-51.04777778,226.9,1.5,1
100.5729167,-51.24388889,212.8,2.2,1
100.5858333,-51.21019444,232.3,3.3,0.997
100.4934167,-51.06447222,236.4,5.5,1
100.473125,-51.17522222,222,4.7,1
100.5000833,-51.11177778,227.7,3.5,1
100.4649583,-51.06952778,213.8,1.1,1
100.5257083,-50.98663889,220.9,1.6,1
100.5347083,-51.00525,217.2,4.8,1
100.5355833,-51.01619444,221.9,2.2,1
100.5565833,-50.98436111,216.1,3.5,1
100.654375,-51.13469444,227.3,5,1
100.6373333,-51.18230556,229.3,5.3,1
100.551625,-51.079,229.8,4.5,1
100.5115833,-51.06738889,216.5,3.9,1
100.5364583,-51.05661111,231.6,5.8,1
100.60825,-51.02111111,229.1,2.9,1
100.596125,-51.02591667,233.4,4.2,1
100.720125,-50.94211111,224.9,1.8,1
100.757625,-51.13263889,228.7,5.7,1
100.8504583,-51.02169444,212.7,5.1,0.997
100.7378333,-51.16161111,212.5,4,1
100.566625,-50.98455556,230.8,2.4,1
100.5689583,-50.95905556,208.1,4.5,0.999
100.684875,-50.97711111,219.7,5.5,1
100.5772083,-50.93044444,233.6,1.4,1
100.549,-50.98105556,220.1,9.8,1
100.453,-50.99511111,213.2,3.8,1
100.37425,-50.99936111,222.9,3.9,1
100.40375,-51.0035,230.4,6.5,1
100.4062083,-51.01061111,219.3,1.5,1
100.4852917,-50.94763889,232.9,11.7,1
100.5117083,-50.98316667,222.9,0.9,1
100.5266667,-51.00830556,219.4,2,1
100.472875,-51.02519444,223.9,5.4,1
100.4647917,-51.05994444,218.8,1.3,1
100.4360833,-51.05866667,233.9,1.8,1
100.4069583,-51.02877778,231.3,1.8,1
100.568375,-51.00527778,222.3,2.5,1
100.5206667,-51.04966667,221.1,1.5,1
100.4661667,-51.04977778,216.4,3,1
100.4765417,-51.04616667,216.3,1.6,1
100.6185417,-50.99447222,244.3,1.9,0.999
100.7065,-51.21744444,223.7,2.7,1
100.6202917,-51.08344444,213.8,1.9,1
100.665,-51.13205556,210.8,5.2,0.999
100.787,-50.97266667,212.1,5.3,0.999
100.7815833,-51.13727778,206.5,11.3,0.992
100.1507083,-50.47719444,231.9,0.9,0.919
100.2307083,-50.47633333,227.6,5.3,0.999
100.5495417,-50.90936111,229,4,1
100.5802917,-50.91611111,224.4,2.4,1
100.6257083,-50.82816667,221.8,3.6,1
100.7811667,-50.87238889,232.1,3.4,1
100.7575417,-50.90352778,227.5,3.7,0.998
100.8770417,-50.86966667,224.1,3.7,0.997
100.811125,-50.99266667,218.4,2.7,1
100.7676667,-50.94555556,223.4,4.7,1
100.561625,-50.92983333,226.8,4.5,1
100.5520417,-50.92777778,222.1,1.9,1
100.5908333,-50.92825,230,3,1
100.6924167,-50.82286111,214.6,3.7,1
100.6875833,-50.87366667,226.3,3.4,1
100.7457917,-50.85461111,233,1.1,0.999
100.7394583,-50.90383333,225.4,2.5,1
100.7347917,-50.91313889,225.6,2.5,1
100.5390833,-50.90952778,209.6,5.3,0.999
100.5867917,-50.91786111,224.6,1.7,1
100.4962917,-50.81105556,230.5,1.2,0.999
100.5350833,-50.82841667,226.2,1.8,1
100.51775,-50.837,226.7,2.9,1
100.5272917,-50.83922222,216.9,1.8,0.999
100.5668333,-50.81008333,225.8,3.9,1
100.5807917,-50.81219444,226.8,2.5,1
100.55075,-50.83269444,228.5,3.4,1
100.5669583,-50.83411111,226.8,2.8,0.999
100.5486667,-50.85486111,215.7,2,1
100.5560833,-50.8715,227.6,3.4,1
100.555875,-50.94533333,226.8,1.4,1
100.5096667,-50.91297222,225.6,2.8,1
100.533125,-50.90538889,231,1.2,1
100.55475,-50.89713889,227.8,4.5,1
100.5650417,-50.725,220.1,2.1,1
100.5877917,-50.758,244.2,4,0.996
100.5904167,-50.81494444,223.1,3.4,1
100.5849583,-50.81897222,222.3,2.3,1
100.603625,-50.82088889,224.3,3.8,1
100.5842917,-50.83505556,224.5,5.2,1
100.6049583,-50.84188889,225.2,1.3,1
100.6121667,-50.70763889,230.9,4,0.953
100.6140833,-50.75363889,221.3,3.7,1
100.605,-50.77297222,217.5,2.9,1
100.6220833,-50.82111111,223.8,1.5,0.998
100.6127083,-50.82258333,222.9,1.9,1
100.6219583,-50.9575,227.6,2,1
100.6093333,-50.9325,223.3,2.4,1
100.6185417,-50.90213889,223.2,1,1
100.5756667,-50.8825,208,2.4,0.992
100.6094167,-50.86847222,229.9,2.1,0.999
100.64025,-50.71002778,214.3,3,0.998
100.6382917,-50.74175,230,2.7,1
100.692375,-50.85063889,221.4,2.3,0.999
100.6297917,-50.87716667,221.8,3.4,1
100.6570833,-50.87811111,220,2.2,1
100.6793333,-50.86480556,229.9,4.3,1
100.7682083,-50.79502778,229,2.2,0.999
100.9888333,-50.794,226.9,2.2,0.992
100.8609583,-50.84736111,224.5,2.5,1
100.7794583,-50.92016667,225,4.3,0.996
100.5927083,-50.86663889,230,3.7,1
100.6117917,-50.97686111,239.2,8.6,0.997
100.8567917,-50.90925,222.3,6.5,0.998
100.4977917,-50.86191667,215,6.6,0.998
100.4925,-50.81611111,227.2,1.6,1
100.4929167,-50.83055556,239.8,5.2,1
100.520625,-50.88391667,222.5,4.7,1
100.5775417,-50.84011111,227.6,2.7,1
100.5582917,-50.8425,223.8,3.7,0.999
100.6242917,-50.78155556,229.8,5.7,1
100.6085833,-50.89952778,230.2,10,0.999
100.7447917,-51.00119444,233.6,11.2,0.999
100.9480833,-50.76547222,211.6,6.6,0.995
101.003625,-50.85294444,230,4,0.996
101.2593333,-50.49244444,240.3,1.6,0.991
101.40025,-50.41230556,224.3,2.2,0.998
101.3570417,-50.44541667,229.8,4.4,0.998
100.234,-50.88841667,216.7,1.9,1
100.1169583,-50.9025,220.4,4.2,1
100.2065,-50.89319444,245.1,5.2,0.994
100.0800417,-50.87722222,206.9,4.3,0.989
100.033125,-50.88247222,233.7,1.8,0.999
100.1626667,-50.82611111,210.2,3.2,1
100.175875,-50.69272222,235.3,4.3,0.992
100.2248333,-50.7835,221.6,5.4,0.994
100.1939583,-50.84736111,225,1.4,1
100.3054583,-50.79116667,219.3,2.6,1
100.2820833,-50.82375,221.4,4.6,1
100.2767083,-50.83191667,219.9,1.9,1
100.28075,-50.84005556,217.9,2.4,1
100.2489583,-50.84338889,222.2,3.5,1
100.2444583,-50.82788889,216.8,3,1
100.217,-50.88683333,219.8,4.3,1
100.233875,-50.86330556,224.8,3.6,1
99.607625,-51.54916667,230.1,4.4,0.996
99.80404167,-51.47619444,210.3,1.1,0.967
99.91791667,-51.33166667,217.7,3.3,1
99.932125,-51.38541667,218.9,1.4,0.998
99.86941667,-51.54419444,241,6.8,0.989
99.59475,-51.18352778,226.6,0.9,0.998
99.64433333,-51.19644444,222.8,2.7,0.999
99.6535,-51.27327778,224.9,0.7,1
99.84370833,-51.13038889,220.5,1.9,0.998
99.87395833,-51.15483333,213.7,0.7,0.999
99.81320833,-51.226,218.3,1.9,0.992
100.5434583,-50.60105556,216.9,1.2,0.998
100.6585417,-50.55030556,215.5,3.9,0.994
100.7447083,-50.64202778,233.9,2.6,0.997
100.9768333,-50.77344444,208.6,5,0.907
101.0367083,-50.79527778,211.3,2.4,0.999
100.987375,-51.12952778,228.9,2,0.999
100.978375,-50.9825,218.4,0.7,1
101.073375,-51.03119444,215.2,1.8,0.995
100.3458333,-50.85675,229.3,4.8,0.997
100.3582083,-50.89194444,230.3,5.2,0.998
100.278125,-50.98136111,216,3.1,1
100.3639167,-50.98113889,217.8,5.4,0.999
100.4086667,-51.02547222,215.4,2.3,1
100.3699167,-51.04061111,226,2.6,1
100.2851667,-50.97422222,233.8,1.9,1
100.152625,-50.99377778,230.5,2.5,1
100.3562083,-50.84341667,208.6,2.6,1
100.3617917,-50.84672222,223,2.8,1
100.3628333,-50.91552778,223.1,2.5,1
100.3024583,-50.94116667,215.5,4.6,0.999
100.444875,-50.83402778,221.4,2.1,1
100.474875,-50.87547222,224.1,2.3,1
100.443125,-51.09797222,229.8,2.5,0.956
100.3739583,-50.99325,210.3,2.8,1
100.243625,-50.89316667,223.7,1.8,1
100.24125,-51.041,226.7,1.3,0.999
100.270875,-51.02663889,219.6,1.2,0.999
100.481,-50.93205556,222.4,5.3,1
100.4901667,-50.99241667,219.6,1.3,1
100.4785417,-50.97972222,213.6,2.1,1
100.4428333,-50.98222222,224.2,1.9,1
100.61775,-51.00116667,211.3,1.7,0.999
100.4994167,-51.03147222,213.4,1.5,1
100.5578333,-50.9545,219.6,4.5,0.998
100.6302917,-50.92883333,233.9,3.8,0.994
100.2524583,-50.94308333,222.2,4.3,0.998
100.452125,-50.83563889,228.8,4.4,0.997
100.27575,-50.92058333,227.5,2.9,0.998
100.2646667,-50.98355556,224.1,4.7,0.998
100.4115833,-50.84422222,221.7,1.6,0.998
100.41125,-50.90963889,225.5,2.5,0.999
100.447,-51.04186111,219.7,1.7,0.998
100.534625,-51.00102778,228.4,3,0.998
100.1725417,-50.99491667,229.8,2.9,0.997
100.2938333,-50.92880556,217.5,6,0.999
100.3149583,-50.93844444,220.8,5.6,0.999
100.1674583,-50.9815,233.7,3.5,0.994
100.2529167,-50.96677778,216.9,3,0.998
100.313,-51.00094444,227.2,2.3,0.998
100.393125,-51.08219444,222.5,3.3,0.998
100.17125,-51.00602778,210.8,2.3,0.986
100.4954583,-51.07408333,222.6,4.8,0.998
100.5494583,-50.94838889,219.8,3,0.998
100.1834583,-50.916,232.2,4.2,0.997
100.2936667,-50.87997222,210.1,3.8,0.991
100.362125,-50.83686111,225.9,5.3,0.998
100.3488333,-50.90736111,230.7,5.9,0.999
100.3799167,-50.96555556,221.4,2.7,1
100.3277917,-50.98880556,230.6,3.9,0.999
100.3458333,-50.954,223.8,5.7,0.999
100.4260833,-50.84847222,223.8,4.5,0.998
100.4394583,-50.88413889,217,2.9,0.998
100.4429167,-50.97816667,230.3,4.6,0.999
100.413,-50.96511111,211.3,2.5,1
100.5079167,-50.83138889,209.1,4.2,0.978
100.4984583,-50.92183333,219.9,3.2,0.998
100.5050833,-50.92730556,218.2,2.8,0.998
100.533375,-50.92138889,213.1,4.8,0.995
100.4987083,-51.08966667,224.4,3.4,0.998
100.505375,-50.99775,224.3,3.7,0.999
100.58575,-50.99288889,233.8,4.2,0.996
100.2664167,-50.86819444,221.8,10.9,0.998
100.3820417,-50.90775,238.8,9,0.998
100.3200417,-50.99880556,207.5,12,0.995
100.440625,-51.03361111,237.7,4.3,0.992
100.5382917,-50.81163889,236.1,4.2,0.986
100.5997917,-50.90086111,214.3,8.1,0.996
100.237875,-50.96233333,231.7,4.4,0.997
100.33025,-50.97588889,218.8,3.9,0.999
100.3276667,-50.96494444,230.2,4.2,0.999
100.1932083,-51.02755556,228.6,1.6,0.997
100.176625,-50.96172222,222.5,1.3,0.998
100.28575,-50.79725,222.2,5.7,0.997
100.31125,-50.85275,220.5,1.4,0.998
100.3547083,-50.87994444,226.5,2.8,0.998
100.420125,-50.91269444,239.2,4.7,0.996
100.4047917,-50.91630556,211,2.9,0.996
100.3360833,-51.09669444,233.1,10.6,0.997
100.379375,-50.99091667,222.8,3.7,0.999
100.4099583,-50.97041667,225.2,3.5,1
100.4032083,-50.96102778,220.1,7,1
100.415125,-50.83297222,230.7,1,0.996
100.4173333,-50.87591667,232.6,4.4,0.997
100.45875,-50.94308333,231.2,2.6,0.999
100.4569583,-51.02533333,230.3,5.2,0.999
100.46,-50.97797222,236.7,9.7,0.999
100.3715417,-51.08944444,223.2,1.9,0.998
100.4314167,-50.95616667,230.7,5.6,0.999
100.5374583,-50.86672222,226,5.3,0.998
100.5164583,-50.88411111,225.5,4.2,0.998
100.5200833,-50.93808333,230.2,7.2,0.998
100.5871667,-50.89619444,220.6,1.8,0.998
100.618625,-50.96352778,230.8,1.4,0.997
100.6375833,-50.95258333,219.5,10.6,0.997
100.5269583,-51.00516667,223,2.6,0.998
100.3208333,-50.89494444,228.6,3.8,0.998
100.1905833,-50.98797222,215.7,3.4,0.997
100.235375,-51.01758333,214.1,4.3,0.996
100.2534167,-50.94847222,227.7,4.6,0.998
100.3256667,-51.0315,221.7,2.4,0.998
100.2785833,-51.06361111,217,3.8,0.997
100.2744583,-51.003,226.8,2.5,0.998
100.352625,-50.99872222,236,2.8,0.997
100.4069583,-51.10352778,243.2,6,0.978
100.3123333,-51.01266667,205.9,4,0.975
100.3224167,-51.01094444,217.6,2.4,0.998
100.1494167,-50.90461111,215.6,6,0.996
100.508375,-51.08027778,210.1,2.7,0.987
100.5545417,-51.00730556,228,4.9,0.998
100.3480417,-50.84161111,236.7,5.7,0.994
100.2469583,-50.97833333,215.2,4.1,0.997
100.3114167,-50.91288889,225.4,3.9,0.999
100.3129167,-50.93369444,223.6,1.9,0.999
100.3216667,-51.09327778,223.4,2.9,0.998
100.2583333,-51.07866667,223.2,6,0.997
100.4960417,-50.89652778,207,4.7,0.981
100.466,-50.92238889,226.5,1.6,0.998
100.461625,-50.93227778,215.8,2.9,0.999
100.4426667,-50.93541667,229.6,4.5,0.999
100.4364167,-50.95052778,222.7,2.2,0.999
100.397625,-51.00563889,233.7,5.3,0.999
100.3394583,-51.04205556,223.8,5.4,0.998
100.34775,-51.03030556,213.1,4.8,0.996
100.5396667,-51.01666667,230,4.7,0.998
100.4977917,-51.02627778,223.5,3.7,0.998
100.4775,-51.01322222,223.9,3.1,0.999
100.4911667,-50.98627778,203.4,3.2,0.963
100.45775,-50.96366667,214.5,5.7,0.999
100.4327917,-51.02180556,228.6,3.4,0.999
100.424,-50.96797222,223.7,5.1,1
100.4397917,-50.95952778,219.3,4.7,0.999
100.4743333,-50.96972222,213.9,1.6,0.998
100.5514583,-51.013,209.1,6.4,0.993
100.261,-50.84675,223.8,5.1,0.998
100.2205417,-50.94830556,228.5,5.8,0.998
100.27,-50.98355556,228.6,7.4,0.998
100.3012917,-50.95722222,220.7,1.7,0.999
100.1798333,-51.0185,220.2,1.5,0.997
100.2085833,-51.00177778,232.7,3.3,0.996
100.3398333,-50.79975,211.1,7.7,0.991
100.3464167,-50.93575,231.4,3.7,0.999
100.371125,-50.94619444,223.6,5.9,0.999
100.3437917,-50.96966667,220.9,7.7,0.999
100.3292917,-50.95169444,231.9,7.6,0.999
100.295625,-51.09836111,219.1,11.5,0.996
100.4505833,-50.90936111,238.9,8.4,0.996
100.4987083,-50.85366667,208.5,1.2,0.968
