ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
226.621011,0.225864,67.319419,0.200674,-0.874555,0.521642,0.001796,0.456490,0.185567,0.231866,0.800317,0.036014,414.847907,19.143644,208.124741,19.555578,322.605189,18.490242,1.065336,0.411934,0.653402
226.622251,0.313052,67.380243,0.288648,-0.087410,0.694088,0.877756,0.627361,-0.477149,0.329775,-1.446892,0.027948,228.258694,19.792297,120.648272,20.147585,164.312028,19.222746,0.924839,0.355288,0.569551
226.473603,0.120608,67.375357,0.117242,-0.263648,0.269298,-0.043704,0.242634,-0.027746,0.131199,-0.211478,-0.155402,926.774906,18.270929,438.361554,18.746807,731.364199,17.601585,1.145222,0.475878,0.669344
226.447051,0.336357,67.390762,0.381378,-0.415816,0.773266,-0.290779,0.722291,-0.144919,0.417144,-0.347407,-0.093105,225.069699,19.807573,112.617002,20.222378,168.527145,19.195246,1.027132,0.414804,0.612328
226.497395,0.092662,67.300656,0.107724,-0.145315,0.208864,0.153871,0.204534,0.148786,0.113024,1.316418,-0.184825,1312.800522,17.892868,586.946720,18.429892,1057.636432,17.201078,1.228813,0.537024,0.691790
226.603641,0.075358,67.265944,0.073569,-0.223549,0.184025,-0.034809,0.148964,-0.007151,0.083200,-0.085955,0.025428,2077.318204,17.394608,933.786835,17.925768,1656.465533,16.713964,1.211803,0.531160,0.680643
226.330844,0.272119,67.311497,0.275570,-0.622932,0.694863,0.259856,0.568903,-0.034591,0.294647,-0.117399,-0.121263,308.800431,19.464170,155.609228,19.871300,239.324028,18.814455,1.056845,0.407129,0.649715
226.489478,0.065213,67.277152,0.065906,-0.003083,0.153415,0.098641,0.143273,0.015552,0.077133,0.201625,-0.092123,2347.119959,17.262028,1013.197935,17.837152,1936.570143,16.544336,1.292816,0.575125,0.717691
226.594837,0.312184,67.766575,0.234533,-0.532744,0.608224,0.421130,0.560091,-0.088099,0.314628,-0.280009,-0.067089,385.337447,19.223763,195.882413,19.621399,300.465595,18.567432,1.053967,0.397636,0.656330
226.560267,0.255554,67.363104,0.241862,0.728470,0.572232,0.643037,0.486602,0.410240,0.293157,1.399388,-0.151240,295.672787,19.511337,168.888303,19.782389,207.331084,18.970259,0.812130,0.271051,0.541079
227.185743,0.119690,66.991016,0.106176,-0.434133,0.213068,0.304379,0.221775,0.085419,0.123772,0.690130,-0.240056,877.502141,18.330246,427.373040,18.774370,689.416215,17.665716,1.108654,0.444124,0.664530
226.987066,0.285496,67.002518,0.235858,-0.164530,0.519223,-0.027588,0.475328,-0.151128,0.267450,-0.565073,-0.294247,363.047960,19.288456,280.123045,19.233017,430.487215,18.177019,1.055998,-0.055439,1.111437
226.592487,0.110410,67.020026,0.101874,-0.232683,0.193104,-0.211902,0.188309,-0.010673,0.120483,-0.088582,-0.322973,1242.556701,17.952576,581.374292,18.440248,989.416643,17.273472,1.166777,0.487673,0.679104
227.018104,0.129999,67.113956,0.117191,-0.049382,0.286140,0.131741,0.264396,-0.139549,0.142433,-0.979753,-0.166758,785.593157,18.450371,385.453832,18.886457,631.937367,17.760235,1.126223,0.436087,0.690136
226.995997,0.235385,67.305223,0.221705,-0.718330,0.559942,1.285441,0.537571,-0.340185,0.278396,-1.221947,-0.090705,342.026189,19.353218,177.383605,19.729105,263.418725,18.710304,1.018801,0.375887,0.642914
228.186595,0.063872,67.311693,0.069880,-0.381984,0.136618,0.249502,0.137343,-0.064863,0.067165,-0.965729,-0.231008,2397.821020,17.238823,986.413490,17.866241,2021.858793,16.497543,1.368698,0.627419,0.741280
227.221890,0.157322,67.297908,0.135560,-0.916848,0.351220,0.763719,0.311058,-0.249376,0.168683,-1.478370,-0.073343,632.610279,18.685526,312.715577,19.113514,480.039852,18.058727,1.054787,0.427988,0.626799
227.430896,0.156154,67.001839,0.123523,0.067803,0.278855,0.239939,0.259483,0.003973,0.151564,0.026214,-0.158005,751.599231,18.498400,342.341069,19.015240,590.451115,17.833960,1.181280,0.516840,0.664440
226.847500,0.110622,67.060100,0.098557,-0.072625,0.196203,0.095513,0.194889,-0.261463,0.116748,-2.239548,-0.166051,1099.068552,18.085804,514.783088,18.572327,870.212158,17.412857,1.159470,0.486523,0.672947
227.502401,0.231650,66.825333,0.190784,0.353192,0.469446,-0.329196,0.416858,-0.210555,0.228548,-0.921275,-0.131196,517.628277,18.903320,272.374990,19.263470,420.846448,18.201611,1.061859,0.360149,0.701710
227.292143,0.155844,67.178159,0.146038,0.724415,0.330346,-0.164331,0.316435,-0.040512,0.167364,-0.242057,-0.104410,565.788611,18.806730,259.653424,19.315403,453.100998,18.121433,1.193970,0.508673,0.685297
227.292143,0.155844,67.178159,0.146038,0.724415,0.330346,-0.164331,0.316435,-0.040512,0.167364,-0.242057,-0.104410,565.788611,18.806730,259.653424,19.315403,453.100998,18.121433,1.193970,0.508673,0.685297
227.542184,0.074713,67.177103,0.067323,-0.008956,0.161322,-0.111405,0.149082,-0.022811,0.077414,-0.294657,-0.099555,1751.741487,17.579691,784.984113,18.114237,1425.146346,16.877272,1.236965,0.534546,0.702419
227.475438,0.196107,67.204821,0.177587,-0.187116,0.465194,-0.161853,0.395198,0.304047,0.205946,1.476341,-0.124361,416.419603,19.139538,205.357464,19.570112,330.181035,18.465040,1.105072,0.430574,0.674498
227.415203,0.058222,67.294023,0.048011,-0.038254,0.132408,0.313802,0.106505,-0.104978,0.057028,-1.840820,-0.122877,3005.563882,16.993551,1228.267389,17.628157,2560.420132,16.241142,1.387014,0.634605,0.752409
228.067035,0.179511,67.286580,0.182894,-0.371688,0.396592,0.271769,0.357020,0.063976,0.188450,0.339482,-0.210656,516.887468,18.904875,259.330419,19.316755,424.609344,18.191946,1.124809,0.411880,0.712929
227.239019,0.264430,67.373957,0.245531,-0.097756,0.650145,0.629509,0.600848,0.202279,0.283675,0.713067,-0.187803,300.508265,19.493725,161.387620,19.831713,232.178041,18.847366,0.984346,0.337988,0.646358
228.358648,0.048389,67.272969,0.049227,0.029748,0.106432,-0.087575,0.095126,-0.044103,0.047757,-0.923486,-0.245810,4608.835768,16.529388,1842.839104,17.187670,4024.049614,15.750261,1.437408,0.658281,0.779127
226.679841,0.098257,67.100106,0.092519,-0.449195,0.176423,0.109649,0.173951,0.130188,0.110923,1.173681,-0.102087,1320.319237,17.886669,600.418250,18.405254,1066.941718,17.191568,1.213686,0.518585,0.695101
226.566672,0.102390,66.902042,0.097991,-0.337500,0.191466,0.182499,0.176715,-0.013116,0.106107,-0.123615,-0.300031,1470.069503,17.770021,680.489524,18.269335,1195.950290,17.067636,1.201698,0.499313,0.702385
226.771667,0.260452,67.030191,0.221492,-0.287942,0.482170,-0.395703,0.456365,-0.061853,0.258317,-0.239446,-0.282028,373.322375,19.258156,195.403963,19.624054,295.857295,18.584215,1.039839,0.365898,0.673941
