Mv,r1_2,dist,Vhel,sigma,Fe_H,sigFe_H
-8.880000,231.000000,82.000000,-290.700000,9.100000,-2.000000,0.340000
-9.450000,311.000000,106.000000,222.900000,6.600000,-1.800000,0.240000
-9.030000,405.000000,76.000000,-247.200000,9.500000,-2.120000,0.330000
-11.780000,270.000000,254.000000,282.900000,9.200000,-1.480000,0.260000
-9.740000,171.000000,233.000000,78.300000,7.400000,-1.680000,0.340000
-8.940000,456.000000,95.000000,224.300000,7.900000,-1.970000,0.380000
-13.340000,792.000000,139.000000,55.200000,11.700000,-1.070000,0.270000
-10.820000,279.000000,86.000000,111.400000,9.200000,-1.730000,0.440000
