ra,dec,Vhel,Vhel_error,mem
153.31775,-1.772027778,220.9,5.2,0.999
153.2274167,-1.875583333,238.3,7.1,0.993
153.2385417,-1.78625,221.9,6.7,0.998
153.1895,-1.798888889,226.2,4.8,0.999
153.01725,-1.745861111,227,2.6,0.996
153.1739167,-1.863222222,231.3,1.2,0.989
153.1137083,-1.970333333,214.3,3.3,0.979
153.0916667,-1.783527778,221.5,0.5,0.997
153.068125,-1.914083333,216.8,0.8,0.994
153.0572917,-2.013694444,231.2,0.9,0.996
153.0274167,-1.799083333,221.1,1.8,0.997
153.0521667,-1.748638889,231.5,5.2,0.995
152.9922917,-1.956055556,214,1.6,0.95
153.0102917,-1.951055556,216.5,1.1,0.989
152.998375,-1.914333333,220.4,3.5,0.994
152.9911667,-1.782083333,220.8,0.4,0.955
152.9855,-1.7925,227.4,1.6,0.996
152.9286667,-1.999305556,219.8,2.3,0.993
152.8976667,-1.970527778,217.4,1.4,0.985
152.9181667,-1.958972222,210.1,1.3,0.973
152.922,-1.936111111,220,0.7,0.991
152.9769167,-1.786833333,206.4,1.5,0.951
153.2871667,-1.544194444,218.7,3.1,0.997
153.3019583,-1.488111111,230.2,1.4,0.999
153.2737083,-1.559638889,221.2,3.7,0.999
153.2761667,-1.552888889,221.7,2.9,0.994
153.256625,-1.490666667,234.1,3.6,0.997
153.2677917,-1.371611111,225.2,1.1,0.999
153.2864167,-1.386916667,218.5,3.4,0.988
153.2688333,-1.436305556,219.5,4.8,0.999
153.311,-1.410083333,218.6,3.6,0.999
153.2585,-1.568194444,216.2,1.3,0.999
153.227375,-1.597,202.1,2.1,0.99
153.2214167,-1.594694444,227.1,1.6,0.999
153.210875,-1.582444444,219.2,1.9,0.999
153.2152083,-1.5675,231.6,1.3,0.999
153.2250833,-1.326333333,224.2,2.9,0.999
153.2630417,-1.388055556,227.9,1.9,0.998
153.254875,-1.447916667,222.7,2.8,0.999
153.186375,-1.59025,228.6,2.3,0.999
153.135625,-1.355194444,224.6,3.1,0.999
153.1492083,-1.387027778,227.4,1.7,0.999
153.1911667,-1.349194444,215.2,1.4,0.997
153.152125,-1.553722222,220.8,2.6,0.999
153.1490833,-1.53,224.2,1.3,0.999
153.1172917,-1.565861111,223,2.7,0.999
153.0956667,-1.55075,234.7,1.6,0.998
153.1072083,-1.521111111,236.8,1.2,0.998
153.0659167,-1.400055556,225.1,4.3,0.999
153.03675,-1.4255,236.2,3.5,0.996
153.1081667,-1.433194444,230,2.3,0.998
153.2029583,-1.478138889,219.6,2.2,0.999
153.1677917,-1.485444444,230.7,1,0.999
153.1579583,-1.473055556,218.4,0.9,0.999
153.18275,-1.321222222,220.7,1.5,0.998
153.15575,-1.445388889,219.6,2.1,0.999
153.1208333,-1.511194444,226.8,2.7,0.999
153.0770833,-1.502805556,225.5,2.6,0.995
153.2164583,-1.500222222,226.6,4.1,0.999
153.210625,-1.559138889,212.9,1.5,0.999
153.3385,-1.430527778,227.8,1.3,0.998
153.3317917,-1.449027778,235,5.3,0.996
153.1748333,-1.508388889,224.2,3.5,0.999
153.12125,-1.305111111,219,3.5,0.996
153.1609583,-1.400444444,227.2,2.9,0.999
153.12975,-1.54825,228.9,3.8,0.999
153.092625,-1.373888889,219.2,4.8,0.994
153.1709167,-1.503222222,226.3,0.5,0.999
153.18275,-1.306694444,235.2,1,0.994
153.1626667,-1.499666667,233.7,0.5,0.999
153.1087917,-1.329305556,237.3,8.1,0.996
153.1684583,-1.414333333,230.4,1.1,0.998
153.1125833,-1.505861111,230.7,2,0.999
153.1220833,-1.488388889,217.1,10.6,0.998
153.0929167,-1.400416667,233.6,3.7,0.997
153.1142083,-1.446527778,235.5,5.8,0.997
153.0367917,-1.518972222,233.7,6.8,0.997
153.0339583,-1.485694444,204.1,7.9,0.98
153.42925,-1.620444444,211,2.7,0.992
153.398,-1.679444444,230.6,3.2,0.999
153.35975,-1.587638889,218,3.4,0.999
153.3650833,-1.615611111,232,4.8,0.998
153.3774583,-1.56775,208.9,1.9,0.995
153.40525,-1.667777778,226.6,2.3,0.999
153.1986667,-1.548777778,218.9,1.8,0.999
153.32075,-1.508555556,231.9,2.8,0.999
153.3638333,-1.515777778,226.1,1.7,0.999
153.3481667,-1.729888889,223.6,3.5,0.999
153.3527083,-1.675666667,216.3,2.9,0.996
153.308625,-1.554,223.4,5.5,0.999
153.3109167,-1.575833333,216.1,2.6,0.998
153.32,-1.567222222,222.1,5.1,0.999
153.2203333,-1.678055556,232.8,3.2,0.996
153.2169583,-1.675055556,242.1,3,0.994
153.2035417,-1.674416667,229.6,1.9,0.999
153.179625,-1.67075,230.9,1.1,0.999
153.40625,-1.519861111,227.8,3.7,0.997
153.3070833,-1.745555556,220.9,4.3,0.998
153.302375,-1.636527778,221.5,2.5,1
153.3387917,-1.545055556,212.3,4.3,0.998
153.332125,-1.557222222,217.5,1.5,0.999
153.3610833,-1.524027778,230.6,2.9,0.999
153.3551667,-1.536222222,225.3,2.5,0.999
153.2967917,-1.583861111,233.2,1.4,0.998
153.3735833,-1.468388889,219.9,2.6,0.999
153.3649583,-1.511111111,242.7,2.6,0.991
153.1461667,-1.523166667,225.2,2.2,0.999
153.2368333,-1.673972222,223.3,4.1,0.999
153.2555,-1.589277778,222.1,1.4,1
153.227875,-1.530138889,217.5,6.5,0.999
153.3495,-1.509527778,228.7,4,0.996
153.3294583,-1.605305556,225.2,11,0.998
153.24175,-1.649527778,207.1,6.2,0.998
153.1629583,-1.671666667,219.2,6.7,0.999
153.35825,-1.603055556,210.4,1.4,0.992
153.2785,-1.631138889,227.8,0.8,1
152.52175,-0.8674166667,223.7,4.5,0.987
153.4378333,-1.936277778,210.9,3.5,0.959
153.349875,-1.914805556,228.5,4.3,0.998
153.618125,-1.955138889,230.3,3.2,0.995
153.516125,-1.960361111,210.7,3.7,0.907
153.233875,-1.597194444,224.7,2,1
153.1354583,-1.588777778,232.3,2.6,0.999
153.2902917,-1.625861111,221.4,3,1
153.288,-1.619916667,223.3,1.2,1
153.2750417,-1.618777778,238.8,4.9,1
153.214125,-1.644694444,224.9,1.9,0.999
153.1877917,-1.6615,209.8,1.6,0.996
153.1863333,-1.65525,231.3,2.5,0.999
153.1635417,-1.535277778,216.9,4.7,0.999
153.263875,-1.622944444,213.8,2.6,1
153.2182083,-1.625805556,228.3,5.9,1
153.230875,-1.620277778,220.1,4,1
153.2584583,-1.608111111,214,2.9,1
153.2587083,-1.616305556,216.8,1.7,1
153.1325417,-1.547083333,238.9,1.1,0.997
153.115125,-1.651666667,228.1,3.7,0.999
153.1407917,-1.745777778,213.2,3.5,0.997
153.1052917,-1.742222222,218.7,2.7,0.995
153.1240417,-1.611916667,244.2,1.8,0.991
153.12,-1.622694444,227.2,3.4,0.999
153.0694167,-1.71225,226.3,3.8,0.998
153.0364583,-1.693833333,223.4,2.3,0.993
153.0650833,-1.585083333,223.4,4.9,0.999
153.1109583,-1.593277778,215.2,1.8,0.999
153.1037083,-1.613833333,242.7,3.4,0.991
153.0104167,-1.633666667,223.1,3,0.998
153.0150833,-1.623611111,223.9,4.2,0.997
153.0424583,-1.573,233.2,2.5,0.993
153.0315,-1.606222222,219.7,3.4,0.998
153.0445,-1.616194444,224.6,4.5,0.998
153.022125,-1.618416667,227.3,5.8,0.994
153.048875,-1.643361111,247.5,3.1,0.96
153.2098333,-1.761361111,224.5,4,0.999
153.1544167,-1.67875,217.1,5.3,0.999
153.2062083,-1.752972222,225.8,4,0.999
153.1249583,-1.638083333,224.8,1,0.999
