ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
168.498937,0.260082,22.113241,0.209941,-0.672649,0.345021,-0.409470,0.244185,-0.147839,0.281500,-0.525181,0.000328,423.386225,19.120525,152.315274,19.881683,358.108812,18.362858,1.518826,0.761158,0.757668
168.355062,0.323220,22.057585,0.263045,-0.266984,0.369746,-0.022006,0.356569,0.155102,0.342932,0.452281,-0.008854,372.103252,19.260708,172.244159,19.748180,327.428585,18.460104,1.288076,0.487473,0.800604
168.342725,0.213019,22.060156,0.183949,0.016355,0.276180,-0.505453,0.309418,-0.107652,0.282079,-0.381639,-0.068740,581.988260,18.775082,231.615902,19.426620,512.435023,17.973799,1.452822,0.651539,0.801283
168.341846,0.369593,22.074622,0.283935,0.347971,0.451364,-0.201398,0.381098,0.064428,0.402696,0.159991,-0.062942,283.031509,19.557779,124.283651,20.102507,240.683854,18.794277,1.308229,0.544727,0.763502
168.300250,0.766346,22.056641,0.619828,-0.656439,0.924057,0.128059,1.061154,1.341843,0.995107,1.348441,0.015198,124.438800,20.449978,53.975409,21.008053,102.328005,19.722910,1.285143,0.558075,0.727068
168.307342,0.604417,22.071987,0.451804,0.669450,0.793338,-1.292054,0.676912,-0.319205,0.680905,-0.468795,0.064797,163.563656,20.153151,60.859797,20.877716,133.062675,19.437756,1.439960,0.724566,0.715395
168.316045,0.808802,22.080898,0.634002,0.980995,1.019940,-0.452599,1.059160,-0.847414,1.175188,-0.721088,0.121146,147.268567,20.267092,74.479231,20.658455,126.372383,19.493765,1.164690,0.391363,0.773327
168.227203,0.343106,22.103753,0.290719,-0.127206,0.428246,0.247862,0.376836,0.298662,0.427708,0.698285,0.096031,286.256968,19.545477,118.641073,20.152954,223.320164,18.875576,1.277378,0.607477,0.669901
168.273740,0.366028,22.118319,0.299866,-0.098627,0.453577,0.872217,0.472855,0.179018,0.457660,0.391159,-0.000786,249.685068,19.693886,105.496969,20.280443,237.594334,18.808306,1.472137,0.586557,0.885580
168.273740,0.366028,22.118319,0.299866,-0.098627,0.453577,0.872217,0.472855,0.179018,0.457660,0.391159,-0.000786,249.685068,19.693886,105.496969,20.280443,237.594334,18.808306,1.472137,0.586557,0.885580
168.178046,0.396543,22.089596,0.342719,-0.384905,0.497233,0.995739,0.441411,0.086796,0.511804,0.169588,0.087712,235.148902,19.759010,115.613051,20.181025,190.438214,19.048510,1.132515,0.422014,0.710501
168.398888,0.119218,22.054290,0.109667,-0.202255,0.161508,-1.736645,0.200603,-0.047394,0.153154,-0.309454,-0.117560,1336.917796,17.872105,753.043197,18.146492,816.739663,17.467686,0.678806,0.274387,0.404419
168.407846,0.393531,22.062278,0.333154,-0.235456,0.489240,0.403527,0.440250,0.096070,0.450586,0.213212,-0.128021,247.186691,19.704803,115.279876,20.184158,195.972140,19.017410,1.166748,0.479355,0.687393
168.380522,0.266264,22.073593,0.209974,-0.580975,0.321551,-0.225960,0.290445,0.076660,0.282413,0.271446,-0.105613,439.792048,19.079248,159.522874,19.831486,381.870479,18.293106,1.538380,0.752237,0.786142
168.397641,0.435630,22.080933,0.339877,0.408173,0.499684,-0.670809,0.441410,0.104784,0.497863,0.210468,-0.089082,245.424614,19.712572,99.260357,20.346603,174.340629,19.144400,1.202204,0.634031,0.568172
168.406538,1.700414,22.078344,0.918037,0.113909,1.597769,-0.436622,1.558397,0.379496,1.819039,0.208624,0.248696,109.872528,20.585144,46.207687,21.176756,81.782801,19.966240,1.210516,0.591612,0.618904
168.406538,1.700414,22.078344,0.918037,0.113909,1.597769,-0.436622,1.558397,0.379496,1.819039,0.208624,0.248696,109.872528,20.585144,46.207687,21.176756,81.782801,19.966240,1.210516,0.591612,0.618904
168.382822,1.191071,22.082235,1.303238,0.382508,1.833470,-1.492857,2.253647,0.282325,1.491260,0.189320,-0.201676,117.309520,20.514034,74.349974,20.660339,88.080907,19.885691,0.774649,0.146305,0.628344
168.424727,0.370494,22.093094,0.299725,0.913557,0.448093,-1.025917,0.404262,0.280685,0.406536,0.690431,-0.182258,281.903608,19.562115,120.005767,20.140537,221.064033,18.886600,1.253937,0.578423,0.675514
168.417698,0.794674,22.107995,0.602231,-0.017040,1.005092,-0.751371,1.061042,1.834881,1.001574,1.831998,-0.036456,148.014049,20.261610,70.675498,20.715370,123.808959,19.516016,1.199354,0.453760,0.745594
168.429784,1.035619,22.132564,0.933726,-0.384642,1.664753,1.026248,1.970180,1.623984,1.110897,1.461867,-0.255629,138.595211,20.332996,76.914408,20.623524,130.518341,19.458717,1.164806,0.290527,0.874279
168.423390,0.473059,22.127112,0.393514,0.112044,0.590100,-0.100485,0.533929,0.172973,0.508693,0.340034,-0.183106,228.300434,19.791100,106.842124,20.266685,181.413422,19.101221,1.165464,0.475586,0.689878
168.423390,0.473059,22.127112,0.393514,0.112044,0.590100,-0.100485,0.533929,0.172973,0.508693,0.340034,-0.183106,228.300434,19.791100,106.842124,20.266685,181.413422,19.101221,1.165464,0.475586,0.689878
168.423390,0.473059,22.127112,0.393514,0.112044,0.590100,-0.100485,0.533929,0.172973,0.508693,0.340034,-0.183106,228.300434,19.791100,106.842124,20.266685,181.413422,19.101221,1.165464,0.475586,0.689878
168.426407,0.682257,22.127870,0.608897,0.037002,0.938506,-0.392385,0.990035,-0.894250,0.794692,-1.125279,-0.043049,155.738340,20.206379,78.564639,20.600475,129.084503,19.470711,1.129765,0.394096,0.735668
168.426407,0.682257,22.127870,0.608897,0.037002,0.938506,-0.392385,0.990035,-0.894250,0.794692,-1.125279,-0.043049,155.738340,20.206379,78.564639,20.600475,129.084503,19.470711,1.129765,0.394096,0.735668
168.426407,0.682257,22.127870,0.608897,0.037002,0.938506,-0.392385,0.990035,-0.894250,0.794692,-1.125279,-0.043049,155.738340,20.206379,78.564639,20.600475,129.084503,19.470711,1.129765,0.394096,0.735668
