ra,dec,Vhel,Vhel_error,Fe_H,Fe_H_error,mem
168.353465,22.154679,71.94,0.59,-0.87,0.17,1
168.348635,22.153514,62.13,1.15,-1.54,0.37,1
168.346721,22.163973,75.71,0.59,-1.62,0.13,1
168.347707,22.147494,61.64,1.08,-1.75,0.35,1
168.347566,22.121425,80.15,0.66,-1.49,0.14,1
168.348467,22.118636,81.19,0.62,-1.25,0.14,1
168.351946,22.103707,78.67,0.72,-2.05,0.18,1
168.341306,22.201801,72.5,2,-1.95,0.54,1
168.349861,22.141484,80.92,1.06,0.2,0.26,1
168.350324,22.159308,89.74,0.97,-1.75,0.25,1
168.356523,22.128904,80.16,1.23,-1.44,0.34,1
168.354593,22.20985,83.62,2.57,0.68,0.36,1
168.356646,22.203513,83.64,1.42,-1.08,0.5,1
168.360468,22.185403,83.41,0.75,-0.83,0.19,1
168.373208,22.121111,83.59,0.86,-1.4,0.17,1
168.3805,22.073602,85.01,0.8,-1.54,0.19,1
168.376071,22.115956,87.15,1.29,-2.54,0.34,1
168.379537,22.108393,86.23,0.77,-1.3,0.15,1
168.376933,22.137381,79.23,1.52,-1.45,0.54,1
168.394371,22.13874,84.65,1.85,-0.86,0.5,1
168.393857,22.134419,68.95,1.8,-1.62,0.56,1
168.372524,22.175408,89.24,0.82,-1.16,0.24,1
168.379188,22.189434,74.23,0.8,-0.9,0.23,1
168.37408,22.188551,82.71,1.54,-1.26,0.37,1
168.38356,22.124923,79.41,0.66,-1.04,0.11,1
168.381927,22.129646,69.32,1.16,-1.21,0.4,1
168.3833,22.12761,76.9,1.85,-2.36,0.28,1
168.378052,22.180874,78.52,1.29,-2.21,0.27,1
168.380113,22.184423,73.65,1.46,-2.42,0.46,1
168.386005,22.117952,75.25,0.77,-2.03,0.25,1
168.381981,22.162453,81.4,1.97,-1.13,0.35,1
168.392378,22.108066,74.08,1.04,-1.54,0.21,1
168.397612,22.080946,72.02,1.55,-2.24,0.51,1
168.387447,22.163132,81.77,0.66,-1.6,0.18,1
168.394768,22.161791,89.38,0.84,-1.64,0.28,1
168.401499,22.156571,72.61,0.95,-1.84,0.21,1
168.390259,22.177559,88.12,1.31,-1.1,0.44,1
168.399008,22.143442,72.68,1.1,-2.13,0.45,1
168.395942,22.19299,88.24,1.65,-2.69,0.4,1
168.394219,22.247911,73.85,0.69,-1.64,0.17,1
168.410476,22.163128,76.27,0.65,-1.47,0.14,1
168.413001,22.164606,96.26,1.85,-1.12,0.63,1
168.408419,22.188178,68.92,0.99,-0.95,0.33,1
168.414429,22.154657,82.94,0.69,-1.63,0.16,1
168.421817,22.128119,73.78,0.94,-0.58,0.24,1
168.423364,22.127127,79.22,1.51,-1.94,0.33,1
168.316018,22.080891,83.28,1.92,-1.36,0.72,1
168.316861,22.11591,87.52,1.33,-2.17,0.41,1
168.300912,22.269158,83.24,1.44,-2.07,0.27,1
168.329372,22.112509,76.94,1.36,-1.76,0.3,1
168.328423,22.187452,66.48,1.16,-2.28,0.25,1
168.347533,22.093999,82.29,1.44,-2.34,0.31,1
168.358687,22.113342,83.51,0.92,-1.22,0.24,1
168.36361,22.118247,83.72,1.47,-2.13,0.51,1
168.365603,22.129396,70.03,1.3,-0.94,0.33,1
168.369941,22.186285,86.1,2.38,-1.35,0.57,1
168.364535,22.228195,84.69,1.01,-2.28,0.22,1
168.369268,22.201402,59.67,2,-1.74,0.39,1
168.384699,22.115485,69.71,1.12,-1.33,0.26,1
168.377773,22.205481,72.17,1.25,-1.03,0.57,1
168.394005,22.114571,69.47,1.52,-1.99,0.5,1
168.398312,22.131495,73.05,1.78,-1.78,0.39,1
168.407727,22.077355,85.06,1.43,-1.72,0.6,1
168.406514,22.078363,77.27,1.34,-1.98,0.31,1
168.409612,22.152349,75.81,1.93,-1.61,0.65,1
168.401758,22.168451,88.15,1.21,-1.9,0.33,1
168.407867,22.136993,85.27,0.89,-1.99,0.21,1
168.417672,22.10801,74.4,2.3,-1.52,0.55,1
168.41768,22.178869,65.59,0.96,-1.61,0.29,1
168.429763,22.132577,83.86,0.99,-1.35,0.31,1
168.426824,22.180893,72.15,1.06,-0.82,0.53,1
168.428609,22.232123,89.71,1.75,-0.86,0.52,1
168.434929,22.243589,79.23,1.53,-2.36,0.53,1
168.464637,22.150594,82.8,1.85,-1.91,0.42,1
168.328238,22.220353,85.45,1.83,-2.37,0.49,1
168.323824,22.113282,82.05,2.14,-0.38,0.81,1
168.310269,22.234085,78.76,1.57,-1.22,0.42,1
168.355007,22.1038,74.02,2.19,-0.81,0.6,1
168.38646,22.242679,98.08,1.29,-2.06,0.61,1
168.425033,22.170671,73.34,1.54,-1.63,0.37,1
168.513952,22.211801,82.42,0.82,-2.36,0.3,1
168.470146,22.14511,77.93,1.81,-2.14,0.56,1
