ra,ra_error,dec,dec_error,pmra,pmra_error,pmdec,pmdec_error,parallax,parallax_error,parallax_over_error,ra_dec_corr,phot_g_mean_flux,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,bp_g,g_rp
152.185796,0.335166,12.176083,0.295948,-0.235972,0.349577,-0.141993,0.265161,-0.261225,0.417217,-0.626114,-0.468490,329.509976,19.392696,115.841690,20.178881,285.154302,18.610195,1.568686,0.786184,0.782501
152.155503,0.489595,12.210446,0.401675,-0.480443,0.494121,-0.608922,0.360477,0.379683,0.622589,0.609845,-0.435409,190.835105,19.985722,75.363153,20.645645,152.617898,19.288881,1.356764,0.659924,0.696840
152.129198,0.495518,12.218401,0.402205,-0.337476,0.524471,-0.040665,0.363879,-1.192594,0.644208,-1.851258,-0.433493,195.298157,19.960621,72.937771,20.681162,166.447710,19.194700,1.486462,0.720541,0.765921
152.114916,0.410536,12.226537,0.344710,0.154560,0.424649,0.187737,0.314210,-0.606938,0.520170,-1.166807,-0.453897,251.294972,19.686907,106.335080,20.271851,214.315963,18.920259,1.351591,0.584944,0.766647
152.138283,0.329798,12.233299,0.283970,-0.109941,0.347905,-0.062466,0.256574,-0.224433,0.423124,-0.530419,-0.461000,305.678270,19.474205,113.677995,20.199350,260.901124,18.706705,1.492645,0.725145,0.767500
152.141666,0.280881,12.233898,0.246655,-0.278547,0.318821,0.032256,0.229735,-0.051021,0.374929,-0.136082,-0.461372,401.078092,19.179295,148.488159,19.909313,379.735190,18.299194,1.610119,0.730019,0.880100
152.124415,0.531736,12.229060,0.454032,-0.193108,0.539913,0.398925,0.388039,0.171810,0.686843,0.250144,-0.478728,183.380752,20.028982,64.416315,20.816053,157.660445,19.253588,1.562466,0.787071,0.775394
152.124415,0.531736,12.229060,0.454032,-0.193108,0.539913,0.398925,0.388039,0.171810,0.686843,0.250144,-0.478728,183.380752,20.028982,64.416315,20.816053,157.660445,19.253588,1.562466,0.787071,0.775394
152.127840,0.393026,12.232415,0.351356,0.352611,0.444652,-0.422461,0.318664,-0.913289,0.520975,-1.753037,-0.427579,238.856359,19.742025,101.700628,20.320232,189.786096,19.052235,1.267998,0.578207,0.689791
152.127840,0.393026,12.232415,0.351356,0.352611,0.444652,-0.422461,0.318664,-0.913289,0.520975,-1.753037,-0.427579,238.856359,19.742025,101.700628,20.320232,189.786096,19.052235,1.267998,0.578207,0.689791
152.134357,0.554609,12.239515,0.479606,0.538432,0.593131,-0.577688,0.426178,0.120536,0.715191,0.168538,-0.435162,158.767563,20.185463,69.275904,20.737087,129.345824,19.468515,1.268572,0.551624,0.716948
152.136124,0.535405,12.238642,0.482003,0.665567,0.572490,-0.225832,0.429175,0.689694,0.672969,1.024852,-0.430397,161.484685,20.167038,67.899458,20.758877,143.451633,19.356133,1.402744,0.591839,0.810905
152.136124,0.535405,12.238642,0.482003,0.665567,0.572490,-0.225832,0.429175,0.689694,0.672969,1.024852,-0.430397,161.484685,20.167038,67.899458,20.758877,143.451633,19.356133,1.402744,0.591839,0.810905
152.138518,0.299474,12.239757,0.266425,-0.408947,0.331091,-0.309096,0.243280,0.327543,0.385713,0.849187,-0.439539,337.456097,19.366823,140.717814,19.967670,316.516250,18.496906,1.470764,0.600847,0.869917
152.140119,0.466389,12.239305,0.423174,0.883764,0.557741,-0.242152,0.388649,0.429207,0.637747,0.673006,-0.424493,183.185530,20.030138,74.108231,20.663876,163.366395,19.214989,1.448887,0.633738,0.815149
152.143212,0.586685,12.244673,0.474080,0.914355,0.589556,-0.689455,0.410566,1.682157,0.741638,2.268164,-0.445527,172.001729,20.098536,59.210962,20.907537,142.062341,19.366697,1.540840,0.809002,0.731838
