ra,dec,Vhel,Vhel_error,mem
40.07670833,-34.64161111,58.6,2.6,0.994
40.07870833,-34.62966667,78.6,6.7,0.91
40.08491667,-34.62625,66.8,2.5,0.992
40.03929167,-34.67116667,81.3,10.8,0.944
40.043875,-34.63311111,44.7,7.8,0.991
40.033,-34.62113889,40.7,4.5,0.988
40.09504167,-34.50916667,48.7,6,0.992
40.08816667,-34.52958333,44.7,4.8,0.994
40.099125,-34.54561111,72.1,4.7,0.988
40.10475,-34.55008333,58.2,1.9,0.994
40.08958333,-34.58916667,48.4,5.1,0.993
40.12541667,-34.59258333,67.1,8.1,0.991
40.10629167,-34.60011111,62.4,2.8,0.994
40.11195833,-34.60355556,34.8,3.7,0.96
40.13479167,-34.51497222,53.3,6.7,0.987
40.13508333,-34.53069444,51.5,2.4,0.99
40.11883333,-34.53411111,62.9,7.8,0.99
40.13766667,-34.54647222,36.4,1.4,0.98
40.124125,-34.54811111,38.4,1.3,0.984
40.13654167,-34.55508333,58.2,1.3,0.995
40.19358333,-34.71033333,60.2,1.4,0.994
40.161625,-34.69194444,48.4,1.9,0.986
40.15725,-34.62080556,60.8,3,0.994
40.17070833,-34.61786111,46.7,1.5,0.993
40.13766667,-34.61697222,38,2.1,0.982
40.13683333,-34.65572222,55.1,3.7,0.994
40.13329167,-34.63938889,73,1.8,0.988
40.115125,-34.63294444,45.1,3.4,0.989
40.102875,-34.6215,38.6,5.8,0.976
40.12725,-34.61466667,38,1.3,0.984
40.13870833,-34.49577778,49.4,1.6,0.994
40.15404167,-34.49680556,61.7,2.4,0.994
40.145,-34.50144444,41.9,1.3,0.989
40.14629167,-34.55063889,57.9,2.3,0.995
40.1455,-34.56286111,54.6,2,0.994
40.15379167,-34.57675,54.6,1.6,0.994
40.140375,-34.58233333,68.3,3.5,0.992
40.20283333,-34.51477778,54.5,4.9,0.972
40.20820833,-34.51988889,65.8,4.9,0.944
40.19975,-34.55944444,57,6.5,0.99
40.18608333,-34.56861111,68.5,1.4,0.992
40.232625,-34.61408333,42.8,4.4,0.98
40.203375,-34.61197222,55.5,1.2,0.993
40.21954167,-34.58752778,66.2,4.5,0.989
40.25779167,-34.58186111,36.8,1.4,0.978
40.201,-34.68872222,41.5,8.9,0.983
40.21058333,-34.68263889,41.6,7.1,0.984
40.209875,-34.67391667,40.4,1.6,0.985
40.187375,-34.63141667,56.8,1.9,0.993
40.19370833,-34.5985,72.3,2.1,0.987
40.18416667,-34.59522222,57.3,1.6,0.995
39.58425,-34.32225,57.8,0.6,0.988
39.61820833,-34.34825,45.5,0.5,0.991
39.54775,-34.35641667,43.1,1.1,0.976
39.59958333,-34.35938889,59.2,2.1,0.993
39.63216667,-34.35961111,47,0.9,0.991
39.59129167,-34.38680556,67,0.7,0.991
39.62833333,-34.38608333,51.9,1.5,0.958
39.637,-34.26375,70.7,1.7,0.988
39.61404167,-34.3025,48.7,0.4,0.993
39.64516667,-34.32644444,41.7,1.6,0.98
39.68295833,-34.36752778,70,0.9,0.988
39.70191667,-34.51927778,62.1,1.6,0.993
39.65383333,-34.48305556,58.2,1.4,0.994
39.64754167,-34.42044444,50.4,0.7,0.989
39.61841667,-34.48355556,50.2,0.6,0.994
39.626625,-34.461,35.2,5.5,0.951
39.616125,-34.4465,41.8,2.6,0.983
39.59883333,-34.44322222,47.1,0.6,0.992
39.60845833,-34.42538889,32.9,1.5,0.948
39.63395833,-34.40547222,45.7,0.7,0.991
39.63479167,-34.3975,75.6,3.4,0.975
39.6825,-34.32669444,48.2,0.4,0.994
39.71958333,-34.35169444,63.7,1.2,0.982
39.726375,-34.35502778,66.4,0.6,0.991
