ra,dec,Vhel,Vhel_error,mem
227.1485443,67.06147766,-234.5,0.55,0.999
227.3123474,67.05108643,-252.3,1.63,1
227.3879547,67.37575531,-250,0.9,1
227.3865814,67.05416107,-225.6,0.8,0.997
227.5807037,67.09244537,-241.35,0.47,1
227.6921539,67.2780838,-248.4,0.54,1
227.6314545,67.31858063,-243,0.55,1
227.7131195,67.17488861,-261.5,1.66,0.997
226.869751,67.18138885,-268.9,1.75,0.995
227.6204071,67.32749939,-240.4,1.85,1
227.0017395,67.09036255,-247.2,1.59,0.997
227.2234192,67.04761505,-267.4,2.76,0.997
227.0083313,67.34427643,-253.38,0.46,1
227.1835175,67.0497818,-241.5,1.93,0.999
227.0121155,67.08389282,-262.3,1.72,0.999
227.5196228,67.36322021,-249.7,0.73,0.992
227.4236603,67.38072205,-237.9,1.03,0.999
226.8482971,67.20578003,-249.6,1.24,1
227.5996246,67.34391785,-246.5,0.6,0.998
227.6459198,67.32658386,-264.2,1.92,0.998
226.8439331,67.20033264,-260.7,0.72,0.999
227.619751,67.3401947,-245.1,0.73,1
226.8695984,67.15085602,-231.8,1.19,0.999
227.5426941,67.36463928,-263.9,1.63,0.973
227.3389587,67.39228058,-250.1,1,1
227.1921234,67.03749847,-228.7,1.17,0.998
226.886795,67.12405396,-249.2,1.24,0.999
226.9319153,67.09811401,-260.3,0.86,0.998
226.8221741,67.21453094,-247.6,0.75,1
227.4821167,67.38478088,-246.7,1.87,0.999
226.8870087,67.12088776,-238.5,3.05,0.999
227.0483398,67.05716705,-241.2,1.27,0.999
227.7736969,67.22102356,-240.8,0.49,0.999
227.2222137,67.03150177,-260.3,0.82,0.999
226.8712616,67.12813568,-250.3,1,0.994
227.2311707,67.40002441,-243.3,3.18,1
227.22258,67.40058899,-235.9,1.08,0.999
227.7108765,67.31282806,-237.6,1.8,0.999
227.0689697,67.04819489,-238.28,0.58,1
227.5291595,67.38158417,-242.5,1.17,0.999
227.5838623,67.36952209,-244.2,1.95,0.999
227.552536,67.37836456,-251.6,0.94,1
227.7176361,67.31600189,-256,1.63,0.998
227.0282593,67.0530014,-245.1,1.03,1
227.4161987,67.40193939,-239.8,0.72,1
227.1054382,67.03624725,-244.4,1.37,0.999
227.7850494,67.16833496,-236.7,0.82,0.999
227.6347504,67.36183167,-241.5,1.18,0.996
227.0965271,67.0320816,-232,2.53,0.997
227.7392578,67.31568909,-231.1,1.21,0.998
227.5546722,67.38803101,-239.5,0.86,0.999
227.2107849,67.01450348,-247.4,1.2,1
226.7936707,67.1526413,-242.5,2.12,0.999
227.8001251,67.2769165,-234.5,1.69,0.999
227.7713318,67.31021881,-240.2,1.01,1
226.7640839,67.23844147,-245.5,1.93,0.993
227.1391602,67.01580811,-243.7,1.99,0.998
227.7675018,67.31967163,-267.8,0.68,0.983
227.6790924,67.06322479,-232.17,0.54,0.999
227.6602936,67.37830353,-249.7,1.38,1
226.927536,67.05274963,-237.5,0.95,0.999
226.9798737,67.03617096,-239.8,1.58,0.999
226.9690399,67.03852844,-230.6,0.82,0.995
227.8565063,67.23044586,-251.75,0.37,1
227.4308777,67.00188446,-243.8,1.12,1
226.7843781,67.3120575,-251,1.25,0.999
227.8530884,67.26080322,-241.3,1.69,0.999
227.8664093,67.22558594,-248.4,1.73,0.999
226.9441986,67.03894806,-248.1,1.94,0.999
227.8683319,67.24514008,-246.7,0.52,0.999
226.7190399,67.20102692,-222.1,1.19,0.99
227.7436981,67.35816956,-244.8,1.28,0.999
227.506073,67.00557709,-259.5,1.1,0.999
227.862793,67.27127838,-250,0.66,1
227.8804626,67.20420074,-234.1,1.66,0.999
227.7207184,67.37241364,-233.1,1.22,0.998
227.1856384,66.99111176,-257.1,1.23,1
226.8012085,67.33972168,-246.4,1.1,0.998
227.8249969,67.3164444,-245.3,1.37,0.999
227.2806702,66.98608398,-239.8,1,0.999
227.5605927,67.42014313,-253,3.36,1
227.7171631,67.05391693,-237.4,2.53,0.999
227.8241119,67.32235718,-246.9,0.56,0.999
227.2760468,66.98225403,-253.2,0.93,1
226.8473663,67.06016541,-263.9,1.46,0.999
227.5744019,67.42385864,-253.6,0.57,1
226.7402649,67.31841278,-242.5,2.55,0.999
226.8829193,67.0375824,-247.6,1.61,0.999
226.9608612,67.01141357,-242.2,1.51,0.999
227.9144592,67.25260925,-246,1.09,0.999
226.7247009,67.11591339,-241.1,1.42,0.998
227.2409973,66.97228241,-246.8,1.68,0.999
226.9869995,67.00260925,-244,2.07,0.999
227.7137909,67.39969635,-252.3,3.9,0.999
226.6805725,67.15350342,-253.3,0.52,0.999
227.9015808,67.30220032,-246.5,0.51,0.999
227.837204,67.35778046,-245.1,0.81,0.997
227.6945953,67.41672516,-248.9,1.36,0.999
227.760376,67.3963623,-257.2,1.15,0.999
226.7356262,67.08030701,-238.2,1.12,0.999
227.0256653,66.9799118,-234.46,0.61,0.999
226.6377716,67.25914001,-245.4,1.49,0.999
227.9725494,67.22393799,-268.4,1.04,0.991
226.6634979,67.12021637,-253.7,0.86,0.999
226.6156769,67.19625092,-246.4,1.45,0.999
226.6797485,67.10019684,-230.8,0.73,0.997
227.9800415,67.17996979,-248.5,0.88,1
227.815918,67.39665985,-245.4,1.39,0.999
227.1668396,67.48246765,-246.3,1.15,0.997
226.6034546,67.26600647,-248.4,0.94,1
226.7715759,67.03025055,-251.4,4.35,0.995
228.0053253,67.23614502,-247.2,1.88,0.998
227.2286987,66.94046783,-243.1,1.08,0.999
227.8343353,67.39680481,-248.3,1.48,0.999
227.9718628,67.3081665,-232.6,1.46,0.992
228.0123291,67.20502472,-256,0.71,1
227.966629,67.11161041,-244.3,3.53,0.999
226.6209106,67.31946564,-264.7,2.79,0.998
226.6481018,67.08772278,-242.8,1.03,0.997
226.7212677,67.04283142,-250.4,1.43,0.998
227.8651733,67.39808655,-233.9,2.07,0.995
226.6502838,67.07286072,-250.9,0.93,0.999
227.9268646,67.0407486,-234.9,1.23,0.998
227.9749146,67.06845093,-247.5,1.43,0.989
228.066925,67.28666687,-239.1,1.07,0.998
226.6220398,67.38036346,-265.2,2.43,0.995
228.0922852,67.23522186,-249.2,1.57,0.995
226.6167603,67.05213165,-255.61,0.47,0.999
226.586792,67.06780243,-252.8,0.58,0.999
227.2060547,67.5256958,-244.39,1.31,0.954
226.5961304,67.05913544,-245.9,2.24,0.998
226.9115448,66.93527985,-266.02,0.93,0.983
226.4894257,67.27719879,-250.8,0.79,0.999
226.4973297,67.3006897,-250.1,1.59,0.998
226.5601196,67.36319733,-272.7,1.39,0.968
226.8155823,66.95197296,-239.9,1.23,0.998
226.8094635,66.94677734,-261.1,1.19,0.994
226.5923309,67.02008057,-246.2,1.28,0.997
